Original Word,Stemmed Word
الم,الم
ذلك,ذلك
الكتاب,كتب
لا,لا
ريب,ريب
فيه,فيه
هدى,هدى
للمتقين,متق
الذين,الذين
يؤمنون,يؤم
بالغيب,غيب
ويقيمون,يقم
الصلاة,صلة
ومما,ومم
رزقناهم,رزق
ينفقون,نفق
والذين,ذين
يؤمنون,يؤم
بما,بما
أنزل,نزل
إليك,الك
وما,وما
أنزل,نزل
من,من
قبلك,قبل
وبالآخرة,وبالآخرة
هم,هم
يوقنون,يوق
أولئك,ولئ
على,على
هدى,هدى
من,من
ربهم,ربهم
وأولئك,أولئ
هم,هم
المفلحون,فلح
إن,ان
الذين,الذين
كفروا,كفر
سواء,سوء
عليهم,علي
أأنذرتهم,أنذر
أم,ام
لم,لم
تنذرهم,نذر
لا,لا
يؤمنون,يؤم
ختم,ختم
الله,الل
على,على
قلوبهم,قلب
وعلى,على
سمعهم,سمع
وعلى,على
أبصارهم,بصر
غشاوة,غشو
ولهم,لهم
عذاب,عذب
عظيم,عظم
ومن,ومن
الناس,ناس
من,من
يقول,يقل
آمنا,امن
بالله,بلل
وباليوم,ليم
الآخر,اخر
وما,وما
هم,هم
بمؤمنين,مؤم
يخادعون,خدع
الله,الل
والذين,ذين
آمنوا,امن
وما,وما
يخدعون,خدع
إلا,الا
أنفسهم,نفس
وما,وما
يشعرون,شعر
في,في
قلوبهم,قلب
مرض,مرض
فزادهم,فزد
الله,الل
مرضا,رضا
ولهم,لهم
عذاب,عذب
أليم,الم
بما,بما
كانوا,كان
يكذبون,كذب
وإذا,وإذ
قيل,قيل
لهم,لهم
لا,لا
تفسدوا,فسد
في,في
الأرض,ارض
قالوا,قال
إنما,انم
نحن,نحن
مصلحون,صلح
ألا,الا
إنهم,نهم
هم,هم
المفسدون,فسد
ولكن,ولكن
لا,لا
يشعرون,شعر
وإذا,وإذ
قيل,قيل
لهم,لهم
آمنوا,امن
كما,كما
آمن,امن
الناس,ناس
قالوا,قال
أنؤمن,ؤمن
كما,كما
آمن,امن
السفهاء,فهء
ألا,الا
إنهم,نهم
هم,هم
السفهاء,فهء
ولكن,ولكن
لا,لا
يعلمون,علم
وإذا,وإذ
لقوا,لقا
الذين,الذين
آمنوا,امن
قالوا,قال
آمنا,امن
وإذا,وإذ
خلوا,خلا
إلى,الى
شياطينهم,شيط
قالوا,قال
إنا,انا
معكم,عكم
إنما,انم
نحن,نحن
مستهزئون,هزئ
الله,الل
يستهزئ,هزئ
بهم,بهم
ويمدهم,يمد
في,في
طغيانهم,طغي
يعمهون,يعم
أولئك,ولئ
الذين,الذين
اشتروا,شتر
الضلالة,ضلل
بالهدى,هدى
